cd_mun,nm_mun,qtd_criancas,qtd_criancas_pct,qtd_adolescentes,qtd_adolescentes_pct,qtd_idosos,qtd_idosos_pct,renda_media_responsavel
2900108,Abaíra,685,0.09382276400493084,838,0.11477879742501028,1962,0.26873031091631283,1341.85
2900207,Abaré,2846,0.16134701513691252,3227,0.18294687907477747,2234,0.12665117070128692,1142.09
2900306,Acajutiba,1826,0.1323667995650598,2339,0.16955418629938385,2285,0.16563972453787604,1194.77
2900355,Adustina,1672,0.11773818745158791,2138,0.15055277797338215,2297,0.16174917259347935,1241.24
2900405,Água Fria,1835,0.12657791267158722,2129,0.14685797061460992,2656,0.1832103193764227,1130.53
2900504,Érico Cardoso,1153,0.10873255375330064,1434,0.13523198792908336,1991,0.18775933609958506,1365.89
2900603,Aiquara,564,0.12682707443220148,639,0.14369237688329212,851,0.1913649651450416,1333.3
2900702,Alagoinhas,19769,0.13087286087848796,20706,0.13707589950680216,21852,0.14466254013438815,2012.92
2900801,Alcobaça,3709,0.15120260905014268,3881,0.15821443130860172,3793,0.15462698736241337,1416.74
2900900,Almadina,640,0.12265235722499042,680,0.1303181295515523,1161,0.22249904177845917,1384.18
2901007,Amargosa,4642,0.12710495331453137,5342,0.14627200788587388,5912,0.16187946660825278,1467.94
2901106,Amélia Rodrigues,2943,0.12192393736017897,3619,0.14992957162979534,3984,0.1650509569972657,1404.4
2901155,América Dourada,2175,0.14368765277135495,2717,0.1794939552090903,2294,0.15154918411838542,1134.17
2901205,Anagé,2885,0.11341300416699426,3654,0.14364336818932305,5435,0.21365673401997012,1160.03
2901304,Andaraí,1770,0.1353211009174312,2151,0.16444954128440367,2021,0.15451070336391437,1300.64
2901353,Andorinha,1860,0.12390087929656275,2138,0.14241939781508126,2420,0.16120436983746336,1295.08
2901403,Angical,1907,0.1388727060879697,2175,0.15838916399650452,2298,0.16734634430527234,1366.17
2901502,Anguera,1299,0.11775904269785151,1515,0.13734022300788687,1847,0.16743722237331157,1230.45
2901601,Antas,1513,0.10650429396029847,1778,0.12515838378150076,2603,0.18323243699845135,1389.52
2901700,Antônio Cardoso,1539,0.1380764399784676,1864,0.1672348824690472,1693,0.15189305580477303,1214.89
2901809,Antônio Gonçalves,1426,0.13128337322776654,1654,0.1522739826919536,1705,0.1569692505984165,1317.14
2901908,Aporá,2045,0.12843863836201483,2530,0.15889963572415525,2770,0.17397311895490516,1194.99
2901957,Apuarema,930,0.13452914798206278,1069,0.1546361926804571,1282,0.18544770721828438,1331.51
2902005,Aracatu,1669,0.1197617680826636,1939,0.13913605051664754,2765,0.1984070034443169,1223.83
2902054,Araçás,1635,0.14147270052781863,1997,0.1727957082287791,1400,0.12113870381586916,1261.29
2902104,Araci,6568,0.13600033130409575,8175,0.16927568642067337,7211,0.14931461465192364,1108.69
2902203,Aramari,1307,0.13291975999186414,1432,0.1456320553239093,1487,0.15122546527000916,1282.55
2902252,Arataca,1379,0.1353154744382298,1675,0.16436071043077224,1577,0.15474438229810616,1195.41
2902302,Aratuípe,1262,0.14544197303215398,1298,0.14959087242134378,1173,0.13518497176443472,1093.58
2902401,Aurelino Leal,1684,0.15063959209231595,1909,0.1707666159763843,1747,0.1562751587798551,1301.59
2902500,Baianópolis,1913,0.14051711473483178,2172,0.15954164830321726,2197,0.16137799324225063,1417.42
2902609,Baixa Grande,2141,0.11750823271130625,2977,0.16339187705817781,3474,0.19066959385290888,1204.74
2902658,Banzaê,1683,0.14074259909683895,2071,0.173189496571333,1901,0.15897307242013714,1217.41
2902708,Barra,8684,0.16996790104125892,9529,0.18650669380724966,6362,0.12452047287246536,1271.62
2902807,Barra da Estiva,3690,0.14178129562744948,3956,0.15200184430953662,3413,0.1311380926765542,1380.56
2902906,Barra do Choça,5399,0.1477599277484332,5933,0.16237444921864308,5219,0.14283368455622758,1311.47
2903003,Barra do Mendes,1669,0.12062734894478173,2066,0.14932061289389997,2813,0.20331020526163632,1414.74
2903102,Barra do Rocha,741,0.12831168831168832,898,0.1554978354978355,1010,0.1748917748917749,1341.99
2903201,Barreiras,23909,0.14968009315486996,24691,0.1545757321547072,15953,0.09987228767826511,2594.29
2903235,Barro Alto,1674,0.12443321192299116,2161,0.16063331598899874,2213,0.16449862484204267,1200.57
2903276,Barrocas,2064,0.13576267841873316,2438,0.16036308623298035,2084,0.13707820824837202,1173.9
2903300,Barro Preto,697,0.11949254243099605,820,0.14057946168352478,1104,0.18926795816903824,1324.53
2903409,Belmonte,3009,0.14954525123005816,3316,0.16480294219969185,3113,0.15471398041846826,1574.58
2903508,Belo Campo,2317,0.12584184227677603,2728,0.14816424071257875,3601,0.1955789702368021,1227.96
2903607,Biritinga,1999,0.13198204146309256,2306,0.15225141951670407,2521,0.16644658655750694,1119.25
2903706,Boa Nova,1745,0.12746530314097881,2151,0.15712198685171658,2721,0.19875821767713658,1194.73
2903805,Boa Vista do Tupim,2232,0.13228234457417176,2962,0.17554673146446986,2938,0.17412434066259705,1095.82
2903904,Bom Jesus da Lapa,10104,0.15414187643020594,11042,0.16845156369183828,8407,0.12825324180015255,1694.13
2903953,Bom Jesus da Serra,1195,0.12281603288797534,1557,0.16002055498458376,1749,0.17975334018499486,1092.47
2904001,Boninal,1885,0.13837909264425194,1988,0.1459403905447071,2477,0.1818382029070621,1268.6
2904050,Bonito,2569,0.1621433981317849,2709,0.17097955061853068,1659,0.10470840696793739,1172.58
2904100,Boquira,2509,0.12985198219646,2792,0.1444984991201739,3799,0.1966152572197495,1203.34
2904209,Botuporã,1321,0.11982946298984035,1535,0.13924165457184326,2047,0.18568577648766327,1203.35
2904308,Brejões,1605,0.12400525380514564,2067,0.1597002240593371,2335,0.1804063972803832,1190.64
2904407,Brejolândia,1117,0.12263943785682917,1345,0.1476723759332455,1823,0.20015371102327625,1286.02
2904506,Brotas de Macaúbas,1484,0.12613684657883553,1770,0.1504462388440289,2537,0.21563960900977475,1286.29
